word,definition,part_of_speech,synonyms
meristic,"of, relating to, or divided into segments (as metameres)",adjective,"['meristic', 'meristically']"
apneustic,"relating to, concerned with, or exhibiting apneusis",adjective,['apneustic']
typhus,any of various bacterial diseases caused by rickettsial bacteria: as,noun,"['louse-borne typhus', 'typhus', 'typhuses']"
typology,"study of or study based on types; especially : classification (as of personality, human physique, or bacterial strains) based on the comparative study of types",noun,"['typological', 'typologically', 'typologies', 'typologist', 'typologists', 'typology']"
hypha,"one of the threads that make up the mycelium of a fungus, increase by apical growth, and are coenocytic or transversely septate",noun,"['hypha', 'hyphae', 'hyphal']"
type A,"relating to, characteristic of, having, or being a personality that is marked by impatience, aggressiveness, and competitiveness and that has been implicated by some studies as a factor increasing the risk of cardiovascular disease",adjective,['type A']
type B,"relating to, characteristic of, having, or being a personality that is marked by a lack of excessive aggressiveness and tension and that has been implicated by some studies as a factor reducing the risk of cardiovascular disease",adjective,['type B']
type,a lower taxonomic category selected as a standard of reference for a higher category; also : a specimen or series of specimens on which a taxonomic species or subspecies is actually based,noun,"['type', 'types']"
actinon,a gaseous radioactive isotope of radon that has a half-life of about four seconds,noun,"['actinon', 'actinons']"
actin,"a protein found especially in microfilaments (as those comprising myofibrils) and active in muscular contraction, cellular movement, and maintenance of cell shape",noun,"['actin', 'actins']"
actinic,"of, relating to, resulting from, or exhibiting chemical changes produced by radiant energy especially in the visible and ultraviolet parts of the spectrum",adjective,"['actinic', 'actinically']"
acetin,any of three liquid acetates formed when glycerol and acetic acid are heated together:,noun,"['acetin', 'acetins', 'diacetin', 'monoacetin', 'triacetin']"
action,the process of exerting a force or bringing about an effect that results from the inherent capacity of an agent,noun,"['action', 'actions']"
active,capable of acting or reacting especially in some specific way,adjective,"['active', 'actively', 'activeness', 'activenesses', 'actives']"
actinium,a radioactive trivalent metallic element that resembles lanthanum in chemical properties and that is found especially in pitchblende —symbol Ac,noun,"['actinium', 'actiniums']"
act out,to express (as an impulse or a fantasy) directly in overt behavior without modification to comply with social norms,transitive verb,"['act out', 'acted out', 'acting out', 'acts out']"
actinology,a science that deals with actinism and photochemical effects,noun,"['actinologies', 'actinology']"
Actonel,—used for a preparation of the sodium salt of risedronate,trademark,['Actonel']
activin,"a glycoprotein hormone produced especially in the pituitary gland and gonads that stimulates the secretion of follicle-stimulating hormone, induces the formation of mesoderm during embryological development, and modulates the proliferation and differentiation of red-blood-cell precursors during hematopoiesis",noun,['activin']
heptachlor,a persistent cyclodiene chlorinated hydrocarbon pesticide C10H5Cl7 that causes liver disease in animals and is a suspected human carcinogen,noun,"['heptachlor', 'heptachlors']"
hypsochromic,"of, relating to, causing, or characterized by a visible lightening of color or a shift to spectral colors of shorter wavelength",adjective,"['hypsochrome', 'hypsochromic']"
metachromatic,staining or characterized by staining in a different color or shade from what is typical,adjective,"['metachromatic', 'metachromatically']"
hepaticostomy,an operation to provide an artificial opening into the hepatic duct,noun,"['hepaticostomies', 'hepaticostomy']"
achromia,loss or absence of normal pigmentation (as of the skin) : hypopigmentation; especially : albinism,noun,"['achroma', 'achromas', 'achromia', 'achromias', 'achromic']"
hepatic,"of, relating to, affecting, or associated with the liver",adjective,['hepatic']
metachrosis,the power of some animals (as many fishes and reptiles) to change color voluntarily by the expansion of special pigment cells,noun,"['metachroses', 'metachrosis']"
photochromic,capable of changing color on exposure to radiant energy (as light),adjective,"['photochromic', 'photochromism', 'photochromisms']"
hemochromatosis,"a hereditary disorder of metabolism that involves the deposition of iron-containing pigments in the tissues, is characterized especially by joint or abdominal pain, weakness, and fatigue, may lead to bronzing of the skin, arthritis, diabetes, cirrhosis, or heart disease if untreated, and typically affects men more often than women",noun,"['haemochromatosis', 'haemochromatotic', 'hemochromatoses', 'hemochromatosis', 'hemochromatotic']"
hematocrit,an instrument for determining usually by centrifugation the relative amounts of plasma and corpuscles in blood,noun,"['haematocrit', 'hematocrit', 'hematocrits', 'packed cell volume']"
hematochyluria,the simultaneous presence of blood and chyle in the urine,noun,"['haematochyluria', 'hematochyluria']"
hemangiomatosis,a condition in which hemangiomas are present in several parts of the body,noun,"['haemangiomatosis', 'hemangiomatoses', 'hemangiomatosis']"
atheromatosis,a disease characterized by atheromatous degeneration of the arteries,noun,"['atheromatoses', 'atheromatosis']"
chromatosis,pigmentation; specifically : deposit of pigment in a normally unpigmented area or excessive pigmentation in a normally pigmented site,noun,"['chromatoses', 'chromatosis']"
anasarca,generalized edema with accumulation of serum in the connective tissue,noun,"['anasarca', 'anasarcas', 'anasarcous']"
gelatinization,the process of converting into a gelatinous form or into a jelly,noun,"['gelatinisation', 'gelatinise', 'gelatinised', 'gelatinising', 'gelatinization', 'gelatinizations', 'gelatinize', 'gelatinized', 'gelatinizes', 'gelatinizing']"
Pertofrane,a preparation of the hydrochloride of desipramine —formerly a United States registered trademark,noun,['Pertofrane']
probarbital,a barbiturate C9H14N2O3 with sedative activity of intermediate duration,noun,['probarbital']
epiphysiolysis,abnormal separation of an epiphysis from the bone shaft,noun,"['epiphysiolyses', 'epiphysiolysis']"
epithelioma,a benign or malignant tumor derived from epithelial tissue,noun,"['epithelioma', 'epitheliomas', 'epitheliomata', 'epitheliomatous']"
epithelialization,the process of becoming covered with or converted to epithelium,noun,"['epithelialisation', 'epithelialisations', 'epithelialization', 'epithelializations', 'epithelisation', 'epithelisations', 'epithelization', 'epithelizations']"
epidermolysis,a state of detachment or loosening of the epidermis,noun,"['epidermolyses', 'epidermolysis']"
cyclohexane,a pungent saturated cyclic hydrocarbon C6H12 found in petroleum or made synthetically and used chiefly as a solvent and in organic synthesis,noun,"['cyclohexane', 'cyclohexanes']"
egestion,the act or process of discharging undigested or waste material from a cell or organism; specifically : defecation,noun,"['egest', 'egested', 'egesting', 'egestion', 'egestions', 'egestive', 'egests']"
graph,"a diagram (as a series of one or more points, lines, line segments, curves, or areas) that represents the variation of a variable in comparison with that of one or more other variables",noun,"['graph', 'graphic', 'graphical', 'graphically', 'graphicness', 'graphicnesses', 'graphs']"
paramastoid,situated beside or adjacent to the mastoid process,adjective,['paramastoid']
parietomastoid,of or relating to the parietal bone and the mastoid portion of the temporal bone,adjective,['parietomastoid']
bimastoid,"of, relating to, or joining the two mastoid processes",adjective,['bimastoid']
chromatoid,resembling chromatin especially in affinity for stains,adjective,['chromatoid']
extramastoid,situated on or affecting the outer surface of the mastoid bone,adjective,['extramastoid']
neurodermatitis,chronic eczematous dermatitis arising from repeated rubbing or scratching of a real or imagined irritation of the skin,noun,"['neurodermatitides', 'neurodermatitis', 'neurodermatitises']"
agent,something that produces or is capable of producing an effect,noun,"['agent', 'agents']"
ozena,a chronic disease of the nose accompanied by a fetid discharge and marked by atrophic changes in the nasal structures,noun,"['ozaena', 'ozaenas', 'ozena', 'ozenas']"
open,"having the skin cracked, cut, or broken so that underlying tissue is exposed",adjective,"['open', 'opener', 'openest', 'openly', 'openness', 'opennesses']"
Bowen's disease,a precancerous lesion of the skin or mucous membranes characterized by small solid elevations covered by thickened horny tissue,noun,"['Bowen', ""Bowen's disease""]"
maladie de Roger,a small usually asymptomatic defect in the septum between the ventricles,noun,"['Roger', 'maladie de Roger']"
Voges-Proskauer reaction,a method for detecting the presence of acetoin in a bacterial broth culture in which the addition of a concentrated solution of sodium hydroxide produces a red color in the presence of the substance,noun,"['Proskauer', 'Voges', 'Voges-Proskauer reaction']"
genu,an abrupt flexure; especially : the bend in the anterior part of the corpus callosum,noun,"['genu', 'genua']"
get,to catch or become affected by (a disease or bodily condition),transitive verb,"['get', 'getting', 'got', 'gotten']"
staple,a usually U-shaped and typically metal surgical fastener used to hold layers of tissue together (as in the closure of an incision),noun,"['staple', 'stapled', 'stapler', 'staplers', 'staples', 'stapling']"
benzoin,a hard fragrant yellowish balsamic resin from trees (genus Styrax of the family Styracaceae) of southeastern Asia used especially as an expectorant and topically to relieve skin irritations,noun,"['benzoin', 'benzoins']"
ansamycin,any of several antibiotics (such as the rifamycins and streptovaricins) that are derived from actinomycetes and share a chemical structure in which nonadjacent positions on an aromatic ring are connected by an aliphatic chain,noun,['ansamycin']
benzanthracene,a crystalline feebly carcinogenic cyclic hydrocarbon C18H12 that is found in small amounts in coal tar,noun,"['benzanthracene', 'benzanthracenes']"
cephamycin,any of several beta-lactam antibiotics that are produced by various bacteria of the genus Streptomyces or are made semisynthetically and that closely resemble the cephalosporins in structure and pharmacological properties,noun,['cephamycin']
benzene ring,a plane symmetrical ring of six carbon atoms which is characteristic of benzene and related aromatic compounds and in which the electrons forming three conjugated double bonds are distributed over the entire ring,noun,"['benzene ring', 'benzene rings']"
kanamycin,a broad-spectrum antibiotic from a Japanese soil bacterium of the genus Streptomyces (S. kanamyceticus),noun,"['kanamycin', 'kanamycins']"
benzine,any of various volatile flammable petroleum distillates used especially as solvents or as motor fuels,noun,"['benzine', 'benzines']"
clindamycin,an antibiotic C18H33ClN2O5S derived from and used similarly to lincomycin,noun,"['clindamycin', 'clindamycins']"
Adriamycin,—used for a preparation of the hydrochloride of doxorubicin,trademark,['Adriamycin']
benzomorphan,any of a group of synthetic compounds including some potent analgesics (as phenazocine or pentazocine),noun,"['benzomorphan', 'benzomorphans']"
bleomycin,a mixture of glycoprotein antibiotics derived from a streptomyces (Streptomyces verticillus) and used in the form of the sulfate as an antineoplastic agent,noun,"['bleomycin', 'bleomycins']"
lincomycin,an antibiotic effective especially against gram-positive bacteria that is obtained from an actinomycete of the genus Streptomyces (S. lincolnensis) and is used in the form of its hydrated hydrochloride C18H34N2O6S·HCl·H2O,noun,"['lincomycin', 'lincomycins']"
Magnamycin,a preparation of carbomycin —formerly a United States registered trademark,noun,['Magnamycin']
mikamycin,an antibiotic complex isolated from a bacterium of the genus Streptomyces (S. mitakaensis),noun,['mikamycin']
membranoproliferative glomerulonephritis,a slowly progressive chronic glomerulonephritis characterized by proliferation of mesangial cells and irregular thickening of glomerular capillary walls and narrowing of the capillary lumina,noun,['membranoproliferative glomerulonephritis']
cryostat,an apparatus for maintaining a constant low temperature especially below 0°C (as by means of liquid helium); especially : one containing a microtome for obtaining sections of frozen tissue,noun,"['cryostat', 'cryostatic', 'cryostats']"
rheostat,a resistor for regulating a current by means of variable resistances,noun,"['rheostat', 'rheostatic', 'rheostats']"
chemostat,a device in which bacteria are kept uniformly suspended in a culture medium that is constantly renewed and maintained chemically unaltered by a continuous flow of new medium through it and which is used especially in quantitative studies of mutation rates,noun,"['chemostat', 'chemostats']"
colpostat,a medical appliance or instrument (as a radium applicator) designed to facilitate vaginal treatment,noun,"['colpostat', 'colpostats']"
diastatic,relating to or having the properties of diastase; especially : converting starch into sugar,adjective,['diastatic']
myostatin,a protein found mainly in skeletal muscle that is a transforming growth factor acting to restrain the growth of muscles,noun,['myostatin']
provirus,a form of a virus that is integrated into the genetic material of a host cell and by replicating with it can be transmitted from one cell generation to the next without causing lysis,noun,"['proviral', 'provirus', 'proviruses']"
Provera,—used for a preparation of medroxyprogesterone acetate taken by mouth,trademark,['Provera']
probit,a unit of measurement of statistical probability based on deviations from the mean of a normal distribution,noun,"['probit', 'probits']"
hemocoel,a body cavity (as in arthropods or some mollusks) that normally contains blood and functions as part of the circulatory system,noun,"['haemocoele', 'haemocoelic', 'hemocoel', 'hemocoele', 'hemocoeles', 'hemocoelic', 'hemocoels']"
hemoglobin S,an abnormal hemoglobin occurring in the red blood cells in sickle cell anemia and sickle-cell trait and differing from hemoglobin A in having a valine residue substituted for the glutamic-acid residue in position 6 of two of the four polypeptide chains making up the hemoglobin molecule,noun,"['hemoglobin S', 'hemoglobin Ss']"
hemocyte,a blood cell especially of an invertebrate animal (as an insect),noun,"['haemocyte', 'hemocyte', 'hemocytes']"
hemocyanin,a colorless copper-containing respiratory pigment in solution in the blood plasma of various arthropods and mollusks,noun,"['haemocyanin', 'hemocyanin', 'hemocyanins']"
hemophilia,"a tendency to uncontrollable bleeding; especially : a hereditary, sex-linked blood disorder occurring almost exclusively in males that is marked by delayed clotting of the blood with prolonged or excessive internal or external bleeding after injury or surgery and in severe cases spontaneous bleeding into joints and muscles and that is caused by a deficiency of clotting factors",noun,"['haemophilia', 'hemophilia', 'hemophilias']"
hemoculture,a culture made from blood to detect the presence of pathogenic microorganisms,noun,"['haemoculture', 'hemoculture', 'hemocultures']"
hemoccult,relating to or being a modified guaiac test in which filter paper impregnated with guaiacum turns blue if occult blood is present,adjective,"['haemoccult', 'hemoccult']"
hemolymph,the circulatory fluid of various invertebrate animals that is functionally comparable to the blood and lymph of vertebrates,noun,"['haemolymph', 'hemolymph', 'hemolymphs']"
catenin,"any of various intracellular, cytoplasmic proteins that mediate the adhesion of one cell to another by connecting the actin microfilaments of one cell's cytoskeleton to the transmembrane cadherins of another cell",noun,['catenin']
cellulin,a carbohydrate resembling cellulose that is chiefly of animal origin but is also found in some fungi,noun,"['cellulin', 'cellulins']"
amelogenin,any of various proteins produced by ameloblasts that make up the bulk of the extracellular matrix of developing tooth enamel and play a role in regulating the mineralization of tooth enamel,noun,['amelogenin']
celandine,a yellow-flowered biennial Eurasian herb (Chelidonium majus) of the poppy family naturalized in the eastern United States that has been used medicinally especially as a diuretic,noun,"['celandine', 'celandines']"
cell line,a cell culture selected for uniformity from a cell population derived from a usually homogeneous tissue source (as an organ),noun,"['cell line', 'cell lines']"
benign,of a mild type or character that does not threaten health or life; especially : not becoming cancerous,adjective,"['benign', 'benignities', 'benignity', 'benignly']"
celled,having (such or so many) cells —used in combination,adjective,['celled']
genin,any of various aglycones that occur especially in some plants and toad venoms,noun,"['genin', 'genins']"
glutenin,a glutelin found especially in wheat and obtained by extracting gluten with dilute alkali,noun,"['glutenin', 'glutenins']"
lactenin,a nitrogenous substance present in milk that inhibits bacterial growth,noun,"['lactenin', 'lactenins']"
paracarmine,a carmine microscopy stain containing calcium chloride and often aluminum chloride,noun,"['paracarmine', 'paracarmines']"
daphnin,a bitter crystalline glucoside C15H16O9 occurring especially in plants of the genus Daphne (as D. mezereum),noun,"['daphnin', 'daphnins']"
prosoplasia,differentiation of tissue; especially : abnormal differentiation,noun,"['prosoplasia', 'prosoplasias']"
monoplegia,"paralysis affecting a single limb, body part, or group of muscles",noun,"['monoplegia', 'monoplegias', 'monoplegic']"
prosopagnosia,a form of visual agnosia characterized by an inability to recognize faces,noun,['prosopagnosia']
proctology,"a branch of medicine dealing with the structure and diseases of the anus, rectum, and sigmoid colon",noun,"['proctologic', 'proctological', 'proctologies', 'proctologist', 'proctologists', 'proctology']"
cycloplegic,"producing, involving, or characterized by cycloplegia",adjective,['cycloplegic']
neuroplegic,"of, relating to, or being a tranquilizing agent which acts by suppressing the transmission of nerve impulses",adjective,['neuroplegic']
ophthalmoplegia,paralysis of some or all of the muscles of the eye,noun,"['ophthalmoplegia', 'ophthalmoplegias', 'ophthalmoplegic']"
proglottid,"one of the segments of a tapeworm formed by a process of strobilation in the neck region of the worm, containing both male and female reproductive organs, and surviving briefly after breaking away from the strobila",noun,"['proglottid', 'proglottids']"
parabiosis,the anatomical and physiological union of two organisms either natural (as in conjoined twins) or artificially produced,noun,"['parabioses', 'parabiosis', 'parabiotic', 'parabiotically']"
parablast,mesoblast; especially : the part of the mesoblast giving rise to vascular structures,noun,"['parablast', 'parablastic', 'parablasts']"
epiglottic,"of, relating to, or produced with the aid of the epiglottis",adjective,"['epiglottal', 'epiglottic']"
paracentric,being an inversion that occurs in a single arm of one chromosome and does not involve the centromere,adjective,['paracentric']
